run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.735 | 2.735 | 2.735 Mbytes
Step Temp Press TotEng PotEng 
       0          1.5 -0.025599412    1.4658462   -0.7824633 
   23000    1.5151102   0.23501812   0.76366851   -1.5072893 
   23100    1.4999049   0.26518637    0.7630617   -1.4851053 
   23200     1.510848   0.22393093   0.75592131   -1.5086481 
   23300    1.5040518   0.22266409   0.73862238   -1.5157602 
   23400    1.4654115    0.2122531   0.71517506   -1.4812907 
   23500    1.4642412   0.21444963   0.70913968    -1.485572 
   23600    1.4801689    0.1991659   0.73577591   -1.4828094 
   23700    1.5238996   0.24585595   0.80756214   -1.4765698 
   23800     1.562795   0.27424549   0.86043429    -1.481997 
   23900    1.5562818   0.28198457   0.85476167   -1.4779071 
   24000     1.543116   0.24210277    0.8074963   -1.5054387 
   24100     1.503456   0.22398663   0.75849576   -1.4949939 
   24200    1.5031856   0.21297365   0.73371759   -1.5193668 
   24300    1.4871667   0.19479575   0.72576816    -1.503306 
   24400     1.468029   0.25818606    0.7328989   -1.4674901 
   24500    1.5067125   0.23737338   0.74869048   -1.5096803 
   24600    1.4987754   0.23343884   0.76751395     -1.47896 
   24700    1.5330286   0.23890805   0.79810815   -1.4997071 
   24800    1.5522559   0.23655001   0.83648129   -1.4901533 
   24900     1.540818   0.27304442   0.86676826   -1.4427223 
   25000    1.5653229   0.27759289   0.85971207   -1.4865082 
   25100    1.5058233   0.25245623   0.79380237   -1.4632356 
   25200     1.485025   0.21596629   0.72762949   -1.4982344 
   25300    1.4727014    0.2010591   0.69936722   -1.5080252 
   25400    1.4627577   0.22294848   0.69646808     -1.49602 
   25500     1.475765   0.21243518   0.71987525   -1.4921091 
   25600    1.5182831   0.18662105   0.75995921   -1.5157544 
   25700    1.5437056   0.20855917    0.7932318   -1.5205868 
   25800    1.5394481   0.26165326   0.80126865   -1.5061687 
   25900    1.5139673   0.25514204   0.77512754   -1.4941172 
   26000    1.4762415   0.24040945   0.69202623   -1.5206723 
   26100     1.437984   0.22510447     0.623722   -1.5316334 
   26200    1.4102063   0.24047156   0.62295663   -1.4907635 
   26300    1.4511812   0.24644095   0.66113519   -1.5140012 
   26400    1.4953902   0.20123231   0.71210514   -1.5292949 
   26500    1.5221176   0.23796932    0.7497499   -1.5317111 
   26600    1.5409469   0.23478438   0.76244479   -1.5472389 
   26700    1.5193632   0.25034625   0.75142469   -1.5259078 
   26800    1.4992195   0.22062096   0.72349939   -1.5236402 
   26900    1.4758119   0.21611364   0.69013389   -1.5219207 
   27000     1.455429   0.22686871   0.66577455   -1.5157287 
   27100    1.4683147   0.20318461   0.66453463   -1.5362827 
   27200      1.47669    0.1961743   0.71557887    -1.497792 
   27300    1.5158458   0.27271725   0.79776397   -1.4742964 
   27400    1.5471154   0.26999961   0.83224231   -1.4866872 
   27500    1.5484702   0.19790072   0.82376012   -1.4972001 
   27600    1.5243684   0.20570466   0.79030306   -1.4945317 
   27700    1.4940687   0.24066515   0.74870792   -1.4907114 
   27800    1.5037765   0.20422891   0.71181524   -1.5421548 
   27900    1.4850337   0.21495632   0.68384537   -1.5420316 
   28000    1.4564304   0.23324744    0.6719242   -1.5110801 
   28100    1.4676747   0.19625687   0.68796506    -1.511893 
   28200    1.5170601    0.2273596   0.75402198   -1.5198584 
   28300    1.5734289   0.25133071   0.84133949   -1.5170307 
   28400    1.5591389   0.22804383   0.85598665   -1.4809646 
   28500    1.5240738   0.25271757   0.83300064   -1.4513925 
   28600    1.5091559   0.25173779   0.80205343   -1.4599796 
   28700     1.508239   0.22365315   0.77127141   -1.4893874 
   28800    1.4888136   0.24384488   0.74614301   -1.4853995 
   28900    1.4709806   0.22225082   0.73124927   -1.4735639 
   29000    1.4755861    0.2172971   0.73143936   -1.4802768 
   29100    1.4986686   0.22670199   0.75584599   -1.4904679 
   29200     1.510499   0.29652743   0.82096775   -1.4430785 
   29300    1.5822249   0.28579054   0.88566201   -1.4858922 
   29400    1.5820732   0.26542703    0.8827425   -1.4885844 
   29500    1.5326635   0.26776052   0.82569494   -1.4715731 
   29600    1.5004063    0.2229978   0.77629223   -1.4726263 
   29700    1.5069112   0.22250452   0.75217138   -1.5064972 
   29800    1.4983319   0.19409177   0.73832265   -1.5074866 
   29900    1.4843102   0.23253443   0.73080616   -1.4939864 
   30000    1.4783009   0.20386182   0.73206161   -1.4837237 
   30100    1.4862655   0.25207892   0.75000504   -1.4777183 
   30200    1.5265071   0.23705898   0.78670165   -1.5013387 
   30300    1.5659094   0.22156933    0.8266804    -1.520419 
   30400    1.5794171   0.26178807   0.84115819   -1.5261875 
   30500    1.5267128   0.25127693   0.79147086   -1.4968778 
   30600    1.4877511    0.1678533   0.70879138   -1.5211586 
   30700    1.4838607   0.17088218   0.67424784   -1.5498709 
   30800    1.4787785   0.21046825    0.6740584   -1.5424428 
   30900    1.4850988   0.25366602   0.69479749    -1.531177 
   31000    1.5157521   0.22496189   0.72203521   -1.5498847 
   31100    1.5214275   0.25370959   0.74429584   -1.5361308 
   31200    1.5278888   0.27180132   0.74891483   -1.5411964 
   31300    1.4827435   0.23518629    0.7205508   -1.5018935 
   31400    1.4509095   0.15129686   0.66780393   -1.5069252 
   31500     1.441086   0.19482669    0.6356812   -1.5243238 
   31600    1.4599313   0.23154572   0.64276769   -1.5454839 
   31700    1.4967746   0.20469713   0.69109373   -1.5523813 
   31800      1.51422   0.25725929   0.75704693   -1.5125765 
   31900    1.5283446   0.25543177   0.78999246    -1.500802 
   32000    1.5124998   0.24914619   0.78896641   -1.4780787 
   32100    1.5269259   0.20892182   0.77445239   -1.5142157 
   32200      1.51184    0.2010003   0.75529525   -1.5107609 
   32300    1.4881954   0.24930792   0.73953024   -1.4910857 
   32400    1.4852229   0.23220129   0.73656028   -1.4896003 
   32500    1.4973212   0.25891827   0.74611541    -1.498179 
   32600    1.5146352   0.25846453   0.78045802   -1.4897878 
   32700    1.5387923    0.2568257   0.83847266   -1.4679817 
   32800    1.5716628   0.26693913   0.86876112   -1.4869619 
   32900    1.5432672   0.23086269   0.84835299   -1.4648085 
   33000    1.5026128   0.21816373   0.79067097   -1.4615548 
   33100    1.4975158   0.22886144   0.73966182   -1.5049243 
   33200    1.4994197   0.22477539   0.70650922   -1.5409305 
   33300    1.4764772   0.21943732   0.68920695   -1.5238449 
   33400    1.4654702   0.19644169   0.69485747   -1.5016963 
   33500    1.4754676   0.23689749   0.73046879   -1.4810698 
   33600    1.4915583   0.21482773   0.78617445    -1.449482 
   33700    1.5264915   0.28212896   0.82755045   -1.4604665 
   33800    1.5306204   0.24190963   0.83001811   -1.4641876 
   33900    1.5321031   0.24326266   0.81566727   -1.4807608 
   34000    1.5155357   0.23796008   0.79227443   -1.4793211 
   34100    1.4963361    0.2373506   0.76373812   -1.4790798 
   34200    1.4570679   0.25669833   0.73850246   -1.4454573 
   34300    1.4647906   0.20404081   0.73636937   -1.4591657 
   34400    1.4984737   0.26621562   0.76984225   -1.4761795 
   34500    1.5244798   0.25983644   0.82770636   -1.4572953 
   34600    1.5610972   0.24117033   0.87955098   -1.4603355 
   34700    1.5772544   0.24380033   0.88899237   -1.4751117 
   34800     1.563791    0.2146753   0.83147436   -1.5124497 
   34900    1.4919903   0.24387583   0.73959518   -1.4967089 
   35000    1.4826133   0.24525046   0.71532946   -1.5069196 
   35100     1.487708   0.22615831   0.71590917   -1.5139762 
   35200    1.4940539    0.2054503   0.72580418   -1.5135928 
   35300    1.4985819   0.20044612   0.74447298   -1.5017111 
   35400    1.5123899   0.20941604    0.7691513   -1.4977292 
   35500    1.5269538    0.2457552   0.78949327   -1.4992167 
   35600     1.543415   0.20403786   0.79638497   -1.5169981 
   35700    1.5140634   0.22204245   0.78571048   -1.4836784 
   35800    1.4936414   0.24243433   0.75415465   -1.4846242 
   35900    1.4734466   0.25553524   0.70712932   -1.5013801 
   36000    1.4421371   0.22280361   0.66921785   -1.4923625 
   36100    1.4499897   0.24410701   0.66403178   -1.5093187 
   36200    1.4678066   0.24618456   0.70193095   -1.4981247 
   36300    1.5097359   0.24604406   0.78160666   -1.4812958 
   36400    1.5442784   0.23115622   0.82948764   -1.4851897 
   36500    1.5488149   0.25527836   0.82879991   -1.4926769 
   36600    1.5391959    0.1846556   0.80264955   -1.5044097 
   36700    1.5385234   0.21067732   0.76403473   -1.5420165 
   36800    1.5007263   0.21758965   0.72251976   -1.5268785 
   36900    1.4683452   0.23436958   0.69854297   -1.5023201 
   37000    1.4858724   0.22215562   0.69659079   -1.5305432 
   37100    1.4922963    0.2255985   0.71402958   -1.5227331 
   37200    1.5052359    0.2346475   0.74828271   -1.5078747 
   37300    1.5236341   0.23262673   0.79264637   -1.4910877 
   37400    1.5775448    0.2103509   0.84895999   -1.5155793 
   37500    1.5684875   0.26586194   0.89842001   -1.4525436 
   37600    1.5953908   0.28155461   0.92935755   -1.4619306 
   37700    1.5867098   0.26074593    0.8967181   -1.4815584 
   37800    1.5215409   0.25718004   0.79611106   -1.4844856 
   37900    1.4828279   0.22931602    0.7377912   -1.4847796 
   38000    1.4662338   0.23356431    0.7129717   -1.4847266 
   38100    1.4577346   0.23617862   0.71282261   -1.4721365 
   38200    1.4915262   0.21099147   0.74015416   -1.4954542 
   38300    1.4990509   0.23868316   0.78462431   -1.4622627 
   38400    1.5296986   0.24818195   0.82339327   -1.4694307 
   38500    1.5434462   0.27136822   0.83665531   -1.4767745 
   38600    1.5388418   0.22455971   0.81830304   -1.4882254 
   38700    1.5135735   0.22696418   0.76826041    -1.500394 
   38800    1.4641243    0.2540222   0.70831119   -1.4862252 
   38900     1.459682   0.21062415   0.67573971   -1.5121383 
   39000     1.452379   0.26762249   0.67507184   -1.5018598 
   39100    1.4761185   0.20904866   0.69135938   -1.5211548 
   39200    1.4721583   0.21003309   0.71579702   -1.4907813 
   39300    1.4879422   0.25134673   0.74222252   -1.4880139 
   39400    1.5001812   0.22058073   0.76485881   -1.4837224 
   39500    1.5076601   0.25199407   0.78717352   -1.4726176 
   39600    1.5236592   0.22405542   0.80338097   -1.4803907 
   39700    1.5400079   0.23583653   0.80069952   -1.5075768 
   39800    1.4963272   0.23393891   0.76418778   -1.4786168 
   39900    1.4261508   0.23783141   0.69594314   -1.4416758 
   40000    1.4190224   0.17647076   0.65242064   -1.4745137 
   40100    1.4319807   0.21418712   0.66897627    -1.477381 
   40200    1.4700952   0.23622739   0.74201615     -1.46147 
   40300    1.5107956   0.28465991    0.7939201   -1.4705707 
   40400    1.5224337    0.2437265   0.80068497   -1.4812498 
   40500    1.5019336   0.26945468    0.7891367    -1.462071 
   40600    1.5112192   0.20780507   0.76541441   -1.4997113 
   40700    1.4797414    0.2263517   0.73704695   -1.4808976 
   40800    1.4809632   0.23688954   0.71639339   -1.5033823 
   40900    1.4810717   0.23326092   0.70415025   -1.5157882 
   41000    1.4927871    0.2201751   0.70212327   -1.5353751 
   41100    1.4966391   0.24348356   0.71291716   -1.5303548 
   41200    1.4903528   0.22524629   0.74468146   -1.4891681 
   41300    1.5283978   0.23910477   0.80055309   -1.4903212 
   41400    1.5460537   0.25396003   0.84364422   -1.4736939 
   41500    1.5570741   0.29019288   0.84641024   -1.4874462 
   41600    1.5360293   0.26220775   0.79977805   -1.5025348 
   41700     1.483315   0.22944603   0.74002624   -1.4832746 
   41800    1.4615089   0.22573103   0.71520823    -1.475408 
   41900    1.4776042   0.24375055   0.71975964   -1.4949815 
   42000    1.4911456     0.248161    0.7364021   -1.4986358 
