run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.797 | 2.797 | 2.797 Mbytes
Step Temp Press TotEng PotEng 
   28500   0.95503855  -0.11983959   -2.5192525   -3.9507341 
   28600   0.95128537  -0.19158765   -2.5265298   -3.9523858 
   28700   0.96263184 -0.092107217    -2.498413   -3.9412759 
   28800   0.97333746  0.026312106    -2.450081   -3.9089902 
   28900    1.0081856 -0.052865692   -2.4156354   -3.9267776 
   29000     1.011302  0.069758778   -2.3979348   -3.9137481 
   29100    1.0167937  0.015038147   -2.3953841   -3.9194287 
   29200    1.0013149  0.083311337   -2.4093964   -3.9102402 
   29300    1.0090602 -0.085709238   -2.4342849    -3.946738 
   29400   0.99360961  -0.10718359   -2.4592732   -3.9485678 
   29500   0.96432885 -0.089624916   -2.4777864   -3.9231929 
   29600   0.97105911  0.003901074   -2.4789312   -3.9344255 
   29700   0.98567494   0.01566787   -2.4509138   -3.9283154 
   29800    1.0163528  0.016580286    -2.388695   -3.9120787 
   29900    1.0368195 -0.0049663917   -2.3600972   -3.9141579 
   30000    1.0375831 -0.004635795   -2.3612782   -3.9164834 
   30100    1.0123346  -0.03559918   -2.3839685   -3.9013295 
   30200    1.0068186 -0.032674774   -2.4147616   -3.9238548 
   30300     0.977765  0.028898527   -2.4364248   -3.9019704 
   30400    1.0176924  -0.24223527   -2.4444116   -3.9698033 
   30500   0.98258363 -0.037015108   -2.4439342   -3.9167023 
   30600    1.0038371  0.056711729   -2.4293688   -3.9339931 
   30700    1.0086341   0.11212314   -2.4015386   -3.9133531 
   30800      1.04017  0.053284489   -2.3513146   -3.9103973 
   30900    1.0545122   0.14413781   -2.3182696   -3.8988496 
   31000    1.0655123  -0.11471153   -2.3276925   -3.9247602 
   31100    1.0239192  0.036747861     -2.36956   -3.9042848 
   31200   0.99828981  0.029176139   -2.4029899   -3.8992996 
   31300   0.97583769  0.015922251    -2.414465   -3.8771218 
   31400   0.99759976 -0.063336187   -2.4169917   -3.9122671 
   31500    0.9978001 -0.074400599   -2.4219436   -3.9175192 
   31600   0.98281103 0.0038513549   -2.4287481   -3.9018571 
   31700    0.9878179 -0.041671349   -2.4325272   -3.9131408 
   31800   0.98523809  0.021869106    -2.435446   -3.9121928 
   31900   0.97443391 -0.095477345   -2.4334314   -3.8939842 
   32000     0.988787   0.04711388   -2.4159435   -3.8980096 
   32100    1.0172941 -0.051616042   -2.3855842   -3.9103789 
   32200     1.027846  0.059227701   -2.3597054    -3.900316 
   32300    1.0052541   0.15016419   -2.3558149   -3.8625632 
   32400    1.0382562  -0.11630234   -2.3762691   -3.9324833 
   32500   0.99624707 -0.00088550652   -2.4235405   -3.9167883 
   32600   0.97482065 -0.033247584   -2.4547326    -3.915865 
   32700    0.9693776  -0.13672108   -2.4566989   -3.9096728 
   32800   0.98909468  -0.08435986   -2.4412031   -3.9237305 
   32900   0.99798788  -0.12713194   -2.4194726   -3.9153297 
   33000   0.99575344 -0.039029479   -2.3989001   -3.8914081 
   33100    1.0063313  0.062319895   -2.3882768   -3.8966397 
   33200    1.0001174  0.055544253   -2.3895664   -3.8886154 
   33300     1.025423  -0.13165593   -2.4028409   -3.9398198 
   33400   0.98227722 -0.053813073   -2.4255254   -3.8978342 
   33500   0.97749384 -0.085834491   -2.4593413   -3.9244805 
   33600   0.95739665 -0.081162607     -2.50407    -3.939086 
   33700   0.93757173 -0.073754509   -2.5408832   -3.9461842 
   33800    0.9420649  -0.12857089   -2.5417406   -3.9537762 
   33900   0.96159625 -0.058332861   -2.4789925   -3.9203031 
   34000   0.98728809 -0.0067407685   -2.4251371   -3.9049566 
   34100    1.0236467  -0.10739249    -2.406045   -3.9403615 
   34200    1.0008129  0.024581501   -2.3996453   -3.8997367 
   34300    1.0033284  0.044082142   -2.3995585   -3.9034203 
   34400    1.0210076 -0.013058364   -2.4077061   -3.9380668 
   34500   0.97628169  0.074962091   -2.4255217    -3.888844 
   34600   0.98282545  0.049662634   -2.4459693   -3.9190999 
   34700   0.98311604  -0.13624814   -2.4624345   -3.9360006 
   34800   0.98688853  -0.19667524   -2.4715864    -3.950807 
   34900   0.97139166   -0.0990472   -2.4667046   -3.9226974 
   35000   0.98491046  -0.12759566    -2.438048   -3.9143038 
   35100    1.0070329 -0.073300458   -2.3872031   -3.8966175 
   35200    1.0550069 -0.021698705   -2.3578156   -3.9391369 
   35300    1.0506462  -0.07214037    -2.362716   -3.9375013 
   35400    1.0260765  -0.04239918   -2.3854509   -3.9234092 
   35500    1.0054777 -0.086674919   -2.4140152   -3.9210986 
   35600   0.99380984 -0.092732424   -2.4343438   -3.9239386 
   35700    0.9950062 -0.097392869   -2.4462945   -3.9376824 
   35800   0.98553422 -0.019916029   -2.4534282   -3.9306189 
   35900   0.98928775 -0.038604397   -2.4566733   -3.9394901 
   36000   0.99884795 -0.045536509   -2.4520235   -3.9491698 
   36100   0.99716076 -0.067362709   -2.4423999   -3.9370173 
   36200    1.0270172 -0.081974286   -2.4085579   -3.9479263 
   36300    1.0554587 -0.024797141   -2.3605584   -3.9425569 
   36400    1.0206421   0.17004657   -2.3440575   -3.8738705 
   36500    1.0372287  0.010504984   -2.3570054   -3.9116795 
   36600    1.0262167 -0.0077527046   -2.3944963   -3.9326648 
   36700    1.0043788 -0.092757998   -2.4321082   -3.9375445 
   36800    0.9802314 -0.053943742   -2.4511371   -3.9203795 
   36900   0.99551466 -0.094932187   -2.4580825   -3.9502325 
   37000   0.99915954  -0.10210609   -2.4547809   -3.9523941 
   37100   0.97225388  0.076585743     -2.44326   -3.9005451 
   37200    1.0086227 -0.034729395   -2.4190362   -3.9308335 
   37300    1.0292034  0.046278314   -2.3890482   -3.9316935 
   37400    1.0410717  0.087016746   -2.3650633   -3.9254976 
   37500    1.0442741 -0.0025700861   -2.3624465   -3.9276808 
   37600   0.99266447    0.1444665   -2.3971658   -3.8850438 
   37700   0.98394684  0.039832452   -2.4471253   -3.9219367 
   37800   0.96517527 -0.031550584   -2.4739954   -3.9206706 
   37900   0.95524579 -0.033869643    -2.476876   -3.9086681 
   38000   0.98907205  -0.13130606   -2.4555538   -3.9380472 
   38100   0.98003705  0.056665254   -2.4209931   -3.8899442 
   38200    1.0328686 -0.056784621   -2.3910231   -3.9391619 
   38300    1.0146561  0.055680181   -2.3808722   -3.9017128 
   38400    1.0095629 -0.020456974   -2.3861827   -3.8993892 
   38500    1.0078784 -0.030138384   -2.3978102    -3.908492 
   38600    1.0058613 -0.045963122   -2.4161691   -3.9238274 
   38700   0.99417564 -0.070871905   -2.4438625   -3.9340056 
   38800   0.97292153  0.012192721   -2.4686086   -3.9268945 
   38900   0.96747009 -0.011762487   -2.4850535   -3.9351683 
   39000   0.97338564  -0.12415799   -2.5022942   -3.9612756 
   39100   0.97551783  -0.18537463   -2.5109443   -3.9731217 
   39200   0.98661954  -0.13051394   -2.4986678   -3.9774852 
   39300   0.99678719 -0.037920466   -2.4693875   -3.9634449 
