run 200000
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 16 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d/newton
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.755 | 2.755 | 2.755 Mbytes
Step Temp Press TotEng PotEng 
       0            1  0.070403384    1.4231882 -0.075684814 
   34900   0.99291817  0.051347884   0.72660881  -0.76164946 
   35000    1.0021471  0.049779806   0.73643601  -0.76565526 
   35100    1.0055975  0.050467101   0.75311889  -0.75414406 
   35200    1.0315339  0.061948374   0.78462917  -0.76150917 
   35300    1.0534597  0.062813892   0.81769852  -0.76130386 
   35400    1.0386532  0.061325907   0.81913329  -0.73767592 
   35500    1.0216263  0.053692727   0.77677347   -0.7545147 
   35600   0.98599055  0.052098225    0.7285322  -0.74934243 
   35700   0.96687561  0.052538481   0.71381797   -0.7354058 
   35800    0.9894144  0.049037117   0.72207905  -0.76092751 
   35900   0.99264859  0.049265101   0.74179325  -0.74606096 
   36000    1.0073945   0.04912106   0.76665364  -0.74330279 
   36100    1.0154053  0.061146004   0.78679522  -0.73516839 
   36200    1.0359694  0.056511898    0.7912414  -0.76154526 
   36300    1.0182412  0.057613743   0.77185118  -0.75436302 
   36400   0.99278143  0.049128946   0.73062438  -0.75742894 
   36500   0.95606706  0.061033471   0.68865505  -0.74436808 
   36600   0.95395158   0.04644031   0.67827855  -0.75157375 
   36700   0.97062143  0.055013298   0.69320402  -0.76163426 
   36800   0.99335803  0.051051101   0.70831375  -0.78060381 
   36900    1.0012544  0.047530838   0.72062953  -0.78012363 
   37000    1.0089201  0.049500766   0.73317429  -0.77906883 
   37100   0.99116126  0.048643744   0.74489425  -0.74073063 
   37200    1.0069654  0.052432795   0.76325405  -0.74605924 
   37300    1.0365916  0.053529399   0.78165624  -0.77206298 
   37400    1.0182154  0.059856074   0.78028667  -0.74588897 
   37500   0.99566669  0.048384489   0.75577094    -0.736607 
   37600   0.98493288  0.053531652   0.71772362  -0.75856572 
   37700   0.98126907  0.049538657   0.68517805  -0.78561969 
   37800   0.96416905  0.051347497   0.67290904  -0.77225795 
   37900   0.95860359  0.058801853   0.68803638  -0.74878869 
   38000   0.99315604  0.048983723   0.73187522  -0.75673959 
   38100     1.008382  0.060680478   0.76479141  -0.74664515 
   38200    1.0002426  0.049057741   0.77170925  -0.72752747 
   38300     1.017615  0.055827754   0.77323084   -0.7520449 
   38400    1.0308851  0.055915663   0.76398261   -0.7811833 
   38500    1.0170553  0.048929485   0.73374128  -0.79069555 
   38600   0.98848502  0.047868857   0.69987537  -0.78173816 
   38700   0.96863656  0.055595778   0.68612308  -0.76574013 
   38800   0.98292999  0.053908896   0.69326659  -0.78002065 
   38900    0.9864275  0.041877425   0.71552281  -0.76300677 
   39000   0.99871556     0.054591     0.750443  -0.74650481 
   39100    1.0151384  0.058210245   0.77550401  -0.74605956 
   39200    1.0146574  0.055268613   0.78100833  -0.73983421 
   39300    1.0314719  0.057502912   0.77360114   -0.7724442 
   39400    1.0150146  0.055530027   0.75225233  -0.76912573 
   39500     1.000251   0.05647322   0.72716004  -0.77208925 
   39600   0.97090293  0.045581833   0.71143078  -0.74382944 
   39700   0.97854898   0.04728216   0.71691711  -0.74980356 
   39800   0.99947845   0.04720716   0.74104021  -0.75705107 
   39900    1.0190616  0.058448363   0.77214423  -0.75529967 
   40000    1.0380637  0.061871113   0.78683151  -0.76909419 
   40100    1.0328742  0.058632645   0.77048869  -0.77765865 
   40200     1.006171  0.050249467   0.73278234   -0.7753402 
   40300   0.98072588  0.056994314   0.71357869  -0.75640488 
   40400   0.96945059  0.057963524   0.71532384  -0.73775951 
   40500   0.98523539  0.051839811   0.72908013  -0.74766263 
   40600    1.0041028   0.04799131   0.75210443  -0.75291813 
   40700    1.0213616  0.054745316    0.7720482  -0.75884313 
   40800    1.0236182  0.063128296   0.77423702  -0.76003669 
   40900    1.0039658  0.054270369   0.75613574  -0.74868157 
   41000   0.98202505  0.053308137   0.72997789  -0.74195297 
   41100   0.97310501  0.051309202   0.71023731  -0.74832354 
   41200   0.98513826  0.050031949   0.70605622  -0.77054095 
   41300    1.0083261  0.047066908    0.7197564  -0.79159635 
   41400    1.0343127  0.055046963   0.75165496  -0.79864846 
   41500     1.050679  0.057751809   0.77590099   -0.7989335 
   41600    1.0375578  0.055440261   0.76650524  -0.78866213 
   41700    1.0212801   0.04580663   0.72297024  -0.80779897 
   41800   0.97765491  0.055906282    0.6828716  -0.78250897 
   41900   0.97630686   0.05056865   0.67079431  -0.79256571 
